start_lat,start_lon,end_lat,end_lon,EF
25.4751,-80.5144,25.4329,-80.5207,1
25.7157,-80.8679,25.8471,-80.8679,0
26.1261,-80.8774,26.3195,-80.9145,U
26.1268,-80.5309,26.1921,-80.5515,U
26.8212,-81.0321,26.5841,-80.9634,1
26.4952,-81.1237,26.9135,-81.2528,1
26.9531,-80.615,26.7286,-80.5906,0
27.0754,-81.1119,26.9874,-81.0846,1
26.4502,-81.0533,26.4674,-81.0454,0
26.4311,-81.0388,26.444,-81.0243,1
26.4335,-81.0137,26.419,-81.0366,1
26.8878,-81.0381,27.1086,-81.0814,3
26.7294,-80.4646,26.964,-80.4241,U
26.6907,-80.4445,26.9622,-80.3477,U
26.5555,-80.3321,26.9565,-80.1913,3
28.3398,-80.6058,28.345,-80.6207,1
27.1244,-80.1938,27.1635,-80.1892,1
27.0803,-80.1932,27.162,-80.1791,2
27.2822,-80.8798,27.3823,-80.9577,2
27.4318,-80.9535,27.4635,-80.9776,2
27.3742,-80.4266,27.6749,-80.3621,3
27.3279,-80.7285,27.4988,-80.8184,1
27.3052,-81.342,27.3403,-81.361,2
27.362,-81.205,27.4556,-81.2414,1
27.0669,-81.3478,27.0744,-81.3476,1
27.588,-81.5156,27.596,-81.5177,0
27.127,-80.384,27.385,-80.402,0
26.9567,-80.1913,27.014,-80.1888,0
27.9213,-80.9048,28.186,-81.0607,0
27.4695,-80.3468,27.5571,-80.3952,1
27.228,-80.361,27.397,-80.378,1
26.9589,-80.3514,27.4122,-80.3193,2
27.2724,-80.7072,27.4988,-80.8184,1
26.6281,-82.0679,26.6394,-82.0753,1
26.5931,-81.8776,26.6258,-81.8862,2
27.177,-81.3519,27.1837,-81.3535,1
